Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
whey-protein-chocolate,Premium Whey Protein - Chocolate,<p>High-quality whey protein isolate with 25g protein per serving. Perfect for post-workout recovery and muscle building. Made with rich chocolate flavor and no artificial sweeteners.</p>,GetSupp,Health & Personal Care > Vitamins & Dietary Supplements > Sports Nutrition > Protein Powder,Whey Protein,"Whey Protein, Muscle Building, Post-Workout, Chocolate",TRUE,Size,2 lbs,,,,,WHEY_002_2LB,1000,shopify,20,deny,manual,49.99,59.99,TRUE,TRUE,9.11111E+11,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=500,1,Premium Whey Protein Chocolate,FALSE,Premium Whey Protein Chocolate | GetSupp,High-quality whey protein isolate for muscle building and recovery.,376,unisex,adult,,new,TRUE,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=500,g,,25,,,,,,,ACTIVE
whey-protein-chocolate,Premium Whey Protein - Chocolate,<p>High-quality whey protein isolate with 25g protein per serving. Perfect for post-workout recovery and muscle building. Made with rich chocolate flavor and no artificial sweeteners.</p>,GetSupp,Health & Personal Care > Vitamins & Dietary Supplements > Sports Nutrition > Protein Powder,Whey Protein,"Whey Protein, Muscle Building, Post-Workout, Chocolate",TRUE,Size,5 lbs,,,,,WHEY_002_5LB,2400,shopify,15,deny,manual,89.99,109.99,TRUE,TRUE,9.11111E+11,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=500,1,Premium Whey Protein Chocolate,FALSE,Premium Whey Protein Chocolate | GetSupp,High-quality whey protein isolate for muscle building and recovery.,376,unisex,adult,,new,TRUE,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=500,g,,45,,,,,,,ACTIVE
turmeric-curcumin,Turmeric Curcumin Complex,"<p>Premium turmeric extract with 95% curcuminoids and black pepper for enhanced absorption. Supports joint health, inflammation response, and antioxidant protection.</p>",GetSupp,Health & Personal Care > Vitamins & Dietary Supplements > Herbal Supplements,Turmeric,"Turmeric, Curcumin, Joint Health, Anti-inflammatory",TRUE,Size,60 Capsules,,,,,TURM_001_60,90,shopify,40,deny,manual,26.99,31.99,TRUE,TRUE,1.01111E+11,https://images.unsplash.com/photo-1607619056574-7b8d3ee536b2?w=500,1,Turmeric Curcumin Complex Bottle,FALSE,Turmeric Curcumin Complex | GetSupp,Premium turmeric extract with 95% curcuminoids for joint health.,376,unisex,adult,,new,TRUE,https://images.unsplash.com/photo-1607619056574-7b8d3ee536b2?w=500,g,,15,,,,,,,ACTIVE
turmeric-curcumin,Turmeric Curcumin Complex,"<p>Premium turmeric extract with 95% curcuminoids and black pepper for enhanced absorption. Supports joint health, inflammation response, and antioxidant protection.</p>",GetSupp,Health & Personal Care > Vitamins & Dietary Supplements > Herbal Supplements,Turmeric,"Turmeric, Curcumin, Joint Health, Anti-inflammatory",TRUE,Size,120 Capsules,,,,,TURM_001_120,170,shopify,25,deny,manual,44.99,49.99,TRUE,TRUE,1.01111E+11,https://images.unsplash.com/photo-1607619056574-7b8d3ee536b2?w=500,1,Turmeric Curcumin Complex Bottle,FALSE,Turmeric Curcumin Complex | GetSupp,Premium turmeric extract with 95% curcuminoids for joint health.,376,unisex,adult,,new,TRUE,https://images.unsplash.com/photo-1607619056574-7b8d3ee536b2?w=500,g,,25,,,,,,,ACTIVE
probiotics-digestive-health,Probiotics for Digestive Health,"<p>Advanced probiotic formula with 50 billion CFU and 15 diverse strains. Supports digestive health, immune function, and gut microbiome balance. Delayed-release capsules for optimal delivery.</p>",GetSupp,Health & Personal Care > Vitamins & Dietary Supplements > Probiotics,Probiotics,"Probiotics, Digestive Health, Gut Health, Immune Support",TRUE,Size,30 Capsules,,,,,PROB_001_30,60,shopify,35,deny,manual,34.99,39.99,TRUE,TRUE,1.11111E+11,https://images.unsplash.com/photo-1559757148-5c350d0d3c56?w=500,1,Probiotics for Digestive Health Bottle,FALSE,Probiotics for Digestive Health | GetSupp,Advanced probiotic formula with 50 billion CFU for digestive health.,376,unisex,adult,,new,TRUE,https://images.unsplash.com/photo-1559757148-5c350d0d3c56?w=500,g,,20,,,,,,,ACTIVE
probiotics-digestive-health,Probiotics for Digestive Health,"<p>Advanced probiotic formula with 50 billion CFU and 15 diverse strains. Supports digestive health, immune function, and gut microbiome balance. Delayed-release capsules for optimal delivery.</p>",GetSupp,Health & Personal Care > Vitamins & Dietary Supplements > Probiotics,Probiotics,"Probiotics, Digestive Health, Gut Health, Immune Support",TRUE,Size,60 Capsules,,,,,PROB_001_60,110,shopify,20,deny,manual,59.99,69.99,TRUE,TRUE,1.11111E+11,https://images.unsplash.com/photo-1559757148-5c350d0d3c56?w=500,1,Probiotics for Digestive Health Bottle,FALSE,Probiotics for Digestive Health | GetSupp,Advanced probiotic formula with 50 billion CFU for digestive health.,376,unisex,adult,,new,TRUE,https://images.unsplash.com/photo-1559757148-5c350d0d3c56?w=500,g,,35,,,,,,,ACTIVE
magnesium-glycinate,Magnesium Glycinate 400mg,"<p>Highly absorbable magnesium glycinate form for better bioavailability. Supports muscle relaxation, sleep quality, and bone health. Gentle on the stomach with no digestive upset.</p>",GetSupp,Health & Personal Care > Vitamins & Dietary Supplements > Minerals > Magnesium,Magnesium,"Magnesium, Sleep Support, Muscle Relaxation, Bone Health",TRUE,Size,60 Capsules,,,,,MAG_001_60,70,shopify,50,deny,manual,18.99,22.99,TRUE,TRUE,1.21111E+11,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=500,1,Magnesium Glycinate 400mg Bottle,FALSE,Magnesium Glycinate 400mg | GetSupp,Highly absorbable magnesium for sleep and muscle relaxation.,376,unisex,adult,,new,TRUE,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=500,1,Magnesium Glycinate 400mg Bottle,35,Magnesium Glycinate 400mg | GetSupp,Highly absorbable magnesium for sleep and muscle relaxation.,376,unisex,adult,,ACTIVE
magnesium-glycinate,Magnesium Glycinate 400mg,"<p>Highly absorbable magnesium glycinate form for better bioavailability. Supports muscle relaxation, sleep quality, and bone health. Gentle on the stomach with no digestive upset.</p>",GetSupp,Health & Personal Care > Vitamins & Dietary Supplements > Minerals > Magnesium,Magnesium,"Magnesium, Sleep Support, Muscle Relaxation, Bone Health",TRUE,Size,120 Capsules,,,,,MAG_001_120,130,shopify,30,deny,manual,32.99,37.99,TRUE,TRUE,1.21111E+11,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=500,1,Magnesium Glycinate 400mg Bottle,FALSE,Magnesium Glycinate 400mg | GetSupp,Highly absorbable magnesium for sleep and muscle relaxation.,376,unisex,adult,,new,TRUE,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=500,1,Magnesium Glycinate 400mg Bottle,35,Magnesium Glycinate 400mg | GetSupp,Highly absorbable magnesium for sleep and muscle relaxation.,376,unisex,adult,,ACTIVE
vitamin-c-1000mg,Vitamin C 1000mg with Rose Hips,"<p>High-potency Vitamin C supplement with 1000mg ascorbic acid and rose hips for enhanced absorption. Supports immune system, collagen synthesis, and antioxidant protection.</p>",GetSupp,Health & Personal Care > Vitamins & Dietary Supplements > Vitamins > Vitamin C,Vitamin C,"Vitamin C, Immune Support, Antioxidant, Rose Hips",TRUE,Size,60 Tablets,,,,,VITC_001_60,90,shopify,45,deny,manual,16.99,21.99,TRUE,TRUE,1.31111E+11,https://images.unsplash.com/photo-1559757148-5c350d0d3c56?w=500,1,Vitamin C 1000mg with Rose Hips Bottle,FALSE,Vitamin C 1000mg with Rose Hips | GetSupp,High-potency Vitamin C with rose hips for immune support and antioxidant protection.,376,unisex,adult,,new,TRUE,https://images.unsplash.com/photo-1559757148-5c350d0d3c56?w=500,g,,8,,,,,,,ACTIVE
vitamin-c-1000mg,Vitamin C 1000mg with Rose Hips,"<p>High-potency Vitamin C supplement with 1000mg ascorbic acid and rose hips for enhanced absorption. Supports immune system, collagen synthesis, and antioxidant protection.</p>",GetSupp,Health & Personal Care > Vitamins & Dietary Supplements > Vitamins > Vitamin C,Vitamin C,"Vitamin C, Immune Support, Antioxidant, Rose Hips",TRUE,Size,120 Tablets,,,,,VITC_001_120,170,shopify,25,deny,manual,28.99,33.99,TRUE,TRUE,1.31111E+11,https://images.unsplash.com/photo-1559757148-5c350d0d3c56?w=500,1,Vitamin C 1000mg with Rose Hips Bottle,FALSE,Vitamin C 1000mg with Rose Hips | GetSupp,High-potency Vitamin C with rose hips for immune support and antioxidant protection.,376,unisex,adult,,new,TRUE,https://images.unsplash.com/photo-1559757148-5c350d0d3c56?w=500,g,,14,,,,,,,ACTIVE
zinc-picolinate-50mg,Zinc Picolinate 50mg,"<p>Highly bioavailable zinc picolinate form for optimal absorption. Essential for immune function, wound healing, and protein synthesis. Gentle on the stomach with no metallic aftertaste.</p>",GetSupp,Health & Personal Care > Vitamins & Dietary Supplements > Minerals > Zinc,Zinc,"Zinc, Immune Support, Wound Healing, Picolinate",TRUE,Size,60 Capsules,,,,,ZINC_001_60,80,shopify,40,deny,manual,14.99,19.99,TRUE,TRUE,1.41111E+11,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=500,1,Zinc Picolinate 50mg Bottle,FALSE,Zinc Picolinate 50mg | GetSupp,Highly bioavailable zinc for immune support and wound healing.,376,unisex,adult,,new,TRUE,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=500,g,,7,,,,,,,ACTIVE
zinc-picolinate-50mg,Zinc Picolinate 50mg,"<p>Highly bioavailable zinc picolinate form for optimal absorption. Essential for immune function, wound healing, and protein synthesis. Gentle on the stomach with no metallic aftertaste.</p>",GetSupp,Health & Personal Care > Vitamins & Dietary Supplements > Minerals > Zinc,Zinc,"Zinc, Immune Support, Wound Healing, Picolinate",TRUE,Size,120 Capsules,,,,,ZINC_001_120,150,shopify,20,deny,manual,24.99,29.99,TRUE,TRUE,1.41111E+11,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=500,1,Zinc Picolinate 50mg Bottle,FALSE,Zinc Picolinate 50mg | GetSupp,Highly bioavailable zinc for immune support and wound healing.,376,unisex,adult,,new,TRUE,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=500,g,,12,,,,,,,ACTIVE
iron-bisglycinate-25mg,Iron Bisglycinate 25mg,"<p>Gentle iron bisglycinate form that's easy on the stomach. Supports healthy red blood cell production and oxygen transport. Non-constipating formula with vitamin C for enhanced absorption.</p>",GetSupp,Health & Personal Care > Vitamins & Dietary Supplements > Minerals > Iron,Iron,"Iron, Anemia Support, Energy, Bisglycinate",TRUE,Size,60 Capsules,,,,,IRON_001_60,70,shopify,35,deny,manual,18.99,23.99,TRUE,TRUE,1.51111E+11,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=500,1,Iron Bisglycinate 25mg Bottle,FALSE,Iron Bisglycinate 25mg | GetSupp,Gentle iron supplement for healthy red blood cell production.,376,unisex,adult,,new,TRUE,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=500,g,,9,,,,,,,ACTIVE
iron-bisglycinate-25mg,Iron Bisglycinate 25mg,"<p>Gentle iron bisglycinate form that's easy on the stomach. Supports healthy red blood cell production and oxygen transport. Non-constipating formula with vitamin C for enhanced absorption.</p>",GetSupp,Health & Personal Care > Vitamins & Dietary Supplements > Minerals > Iron,Iron,"Iron, Anemia Support, Energy, Bisglycinate",TRUE,Size,120 Capsules,,,,,IRON_001_120,130,shopify,20,deny,manual,32.99,37.99,TRUE,TRUE,1.51111E+11,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=500,1,Iron Bisglycinate 25mg Bottle,FALSE,Iron Bisglycinate 25mg | GetSupp,Gentle iron supplement for healthy red blood cell production.,376,unisex,adult,,new,TRUE,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=500,g,,16,,,,,,,ACTIVE
brahmi-memory-support,Brahmi Memory Support,"<p>Traditional Ayurvedic herb Brahmi (Bacopa monnieri) known for cognitive enhancement and memory support. Standardized extract with 50% bacosides for optimal brain health and mental clarity.</p>",GetSupp,Health & Personal Care > Vitamins & Dietary Supplements > Herbal Supplements,Brahmi,"Brahmi, Memory, Cognitive Support, Ayurvedic",TRUE,Size,60 Capsules,,,,,BRAH_001_60,85,shopify,40,deny,manual,24.99,29.99,TRUE,TRUE,1.61111E+11,https://images.unsplash.com/photo-1607619056574-7b8d3ee536b2?w=500,1,Brahmi Memory Support Bottle,FALSE,Brahmi Memory Support | GetSupp,Traditional Ayurvedic herb for cognitive enhancement and memory support.,376,unisex,adult,,new,TRUE,https://images.unsplash.com/photo-1607619056574-7b8d3ee536b2?w=500,g,,12,,,,,,,ACTIVE
brahmi-memory-support,Brahmi Memory Support,"<p>Traditional Ayurvedic herb Brahmi (Bacopa monnieri) known for cognitive enhancement and memory support. Standardized extract with 50% bacosides for optimal brain health and mental clarity.</p>",GetSupp,Health & Personal Care > Vitamins & Dietary Supplements > Herbal Supplements,Brahmi,"Brahmi, Memory, Cognitive Support, Ayurvedic",TRUE,Size,120 Capsules,,,,,BRAH_001_120,160,shopify,25,deny,manual,44.99,49.99,TRUE,TRUE,1.61111E+11,https://images.unsplash.com/photo-1607619056574-7b8d3ee536b2?w=500,1,Brahmi Memory Support Bottle,FALSE,Brahmi Memory Support | GetSupp,Traditional Ayurvedic herb for cognitive enhancement and memory support.,376,unisex,adult,,new,TRUE,https://images.unsplash.com/photo-1607619056574-7b8d3ee536b2?w=500,g,,22,,,,,,,ACTIVE
triphala-digestive-cleanse,Triphala Digestive Cleanse,"<p>Traditional Ayurvedic formula combining three fruits (Amalaki, Bibhitaki, Haritaki) for digestive health and gentle detoxification. Supports natural bowel movements and digestive balance.</p>",GetSupp,Health & Personal Care > Vitamins & Dietary Supplements > Herbal Supplements,Triphala,"Triphala, Digestive Health, Detox, Ayurvedic",TRUE,Size,60 Capsules,,,,,TRIP_001_60,90,shopify,35,deny,manual,19.99,24.99,TRUE,TRUE,1.71111E+11,https://images.unsplash.com/photo-1607619056574-7b8d3ee536b2?w=500,1,Triphala Digestive Cleanse Bottle,FALSE,Triphala Digestive Cleanse | GetSupp,Traditional Ayurvedic formula for digestive health and gentle detoxification.,376,unisex,adult,,new,TRUE,https://images.unsplash.com/photo-1607619056574-7b8d3ee536b2?w=500,g,,10,,,,,,,ACTIVE
triphala-digestive-cleanse,Triphala Digestive Cleanse,"<p>Traditional Ayurvedic formula combining three fruits (Amalaki, Bibhitaki, Haritaki) for digestive health and gentle detoxification. Supports natural bowel movements and digestive balance.</p>",GetSupp,Health & Personal Care > Vitamins & Dietary Supplements > Herbal Supplements,Triphala,"Triphala, Digestive Health, Detox, Ayurvedic",TRUE,Size,120 Capsules,,,,,TRIP_001_120,170,shopify,20,deny,manual,34.99,39.99,TRUE,TRUE,1.71111E+11,https://images.unsplash.com/photo-1607619056574-7b8d3ee536b2?w=500,1,Triphala Digestive Cleanse Bottle,FALSE,Triphala Digestive Cleanse | GetSupp,Traditional Ayurvedic formula for digestive health and gentle detoxification.,376,unisex,adult,,new,TRUE,https://images.unsplash.com/photo-1607619056574-7b8d3ee536b2?w=500,g,,17,,,,,,,ACTIVE
giloy-immunity-boost,Giloy Immunity Boost,"<p>Traditional Ayurvedic herb Giloy (Tinospora cordifolia) known as 'Amrita' for its immune-boosting properties. Supports natural immunity, fever management, and overall wellness.</p>",GetSupp,Health & Personal Care > Vitamins & Dietary Supplements > Herbal Supplements,Giloy,"Giloy, Immunity, Fever Support, Ayurvedic",TRUE,Size,60 Capsules,,,,,GILO_001_60,80,shopify,45,deny,manual,22.99,27.99,TRUE,TRUE,1.81111E+11,https://images.unsplash.com/photo-1607619056574-7b8d3ee536b2?w=500,1,Giloy Immunity Boost Bottle,FALSE,Giloy Immunity Boost | GetSupp,Traditional Ayurvedic herb for natural immunity and fever management.,376,unisex,adult,,new,TRUE,https://images.unsplash.com/photo-1607619056574-7b8d3ee536b2?w=500,g,,11,,,,,,,ACTIVE
giloy-immunity-boost,Giloy Immunity Boost,"<p>Traditional Ayurvedic herb Giloy (Tinospora cordifolia) known as 'Amrita' for its immune-boosting properties. Supports natural immunity, fever management, and overall wellness.</p>",GetSupp,Health & Personal Care > Vitamins & Dietary Supplements > Herbal Supplements,Giloy,"Giloy, Immunity, Fever Support, Ayurvedic",TRUE,Size,120 Capsules,,,,,GILO_001_120,150,shopify,25,deny,manual,39.99,44.99,TRUE,TRUE,1.81111E+11,https://images.unsplash.com/photo-1607619056574-7b8d3ee536b2?w=500,1,Giloy Immunity Boost Bottle,FALSE,Giloy Immunity Boost | GetSupp,Traditional Ayurvedic herb for natural immunity and fever management.,376,unisex,adult,,new,TRUE,https://images.unsplash.com/photo-1607619056574-7b8d3ee536b2?w=500,g,,20,,,,,,,ACTIVE
creatine-monohydrate,Creatine Monohydrate 5g,"<p>Pure creatine monohydrate powder for muscle building and strength training. Increases muscle mass, power output, and exercise performance. Unflavored and easy to mix.</p>",GetSupp,Health & Personal Care > Vitamins & Dietary Supplements > Sports Nutrition > Creatine,Creatine,"Creatine, Muscle Building, Strength, Performance",TRUE,Size,500g,,,,,CREA_001_500,500,shopify,30,deny,manual,29.99,34.99,TRUE,TRUE,1.91111E+11,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=500,1,Creatine Monohydrate 500g Container,FALSE,Creatine Monohydrate 5g | GetSupp,Pure creatine monohydrate for muscle building and strength training.,376,unisex,adult,,new,TRUE,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=500,g,,15,,,,,,,ACTIVE
